,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
61,028300,KR7028300002,HLB,KOSDAQ,중견기업부,43050,2,-550,-1.26,43800,43950,42000,1324540,56689807600,5611641373800,130351716,KSQ
62,161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,44500,2,-300,-0.67,45000,45400,43600,413024,18344163450,5512440570500,123875069,STK
63,001570,KR7001570001,금양,KOSPI,,93500,2,-4600,-4.69,97100,97900,93500,434439,41187169300,5427678459500,58050037,STK
64,088980,KR7088980008,맥쿼리인프라,KOSPI,,12450,2,-20,-0.16,12450,12490,12380,835248,10393382180,5425477869750,435781355,STK
65,361610,KR7361610009,SK아이이테크놀로지,KOSPI,,75000,2,-5200,-6.48,80300,80700,75000,268881,20672559700,5347319400000,71297592,STK
66,011170,KR7011170008,롯데케미칼,KOSPI,,123900,2,-4700,-3.65,128300,129800,123900,131289,16521541200,5299874414100,42775419,STK
67,267250,KR7267250009,HD현대,KOSPI,,65700,2,-1400,-2.09,67600,68300,65300,275243,18240886600,5189845684500,78993085,STK
68,047810,KR7047810007,한국항공우주,KOSPI,,52800,2,-1100,-2.04,53900,54000,52300,606154,32075433400,5146685649600,97475107,STK
69,042700,KR7042700005,한미반도체,KOSPI,,52400,2,-300,-0.57,53300,53800,52100,756016,39991318000,5100579424800,97339302,STK
70,180640,KR7180640005,한진칼,KOSPI,,76100,2,-4100,-5.11,79500,81400,75700,165056,12718278700,5080609431900,66762279,STK
71,302440,KR7302440003,SK바이오사이언스,KOSPI,,63400,2,-2400,-3.65,65800,66300,63400,128432,8239727600,4870879350000,76827750,STK
72,011070,KR7011070000,LG이노텍,KOSPI,,204500,2,-12000,-5.54,215000,217000,204000,215764,44678313000,4839923381500,23667107,STK
73,307950,KR7307950006,현대오토에버,KOSPI,,174800,2,-5400,-3.0,180000,180900,173400,149212,26169103100,4793712053600,27423982,STK
74,051900,KR7051900009,LG생활건강,KOSPI,,305000,2,-7500,-2.4,311000,314000,303500,57292,17568081000,4763550085000,15618197,STK
75,251270,KR7251270005,넷마블,KOSPI,,55000,2,-1000,-1.79,56000,56900,54700,68814,3821369600,4727442610000,85953502,STK
76,028050,KR7028050003,삼성엔지니어링,KOSPI,,23850,2,-550,-2.25,24400,24750,23650,965573,23179191150,4674600000000,196000000,STK
